amt,lat,long,merch_lat,merch_long,city_pop,distance,time_since_last_transaction
311.92,64.7556,-165.6723,64.79500999999999,-165.670735,145,0.039441061408120995,2364.0
58.79,44.0577,-76.0196,44.015435,-76.027125,1271,0.042929661657181206,75.0
70.56,37.0462,-76.4096,37.005252,-76.395765,136895,0.043222053734176306,0.0
17.28,40.9493,-78.3129,40.966241,-78.242112,1762,0.07278693856042366,0.0
83.52,41.0233,-98.9041,40.992141,-98.831582,2202,0.0789287248408365,0.0
50.82,34847,-98.9836,34.852665,-98.90267,551,0.0811280292192483,0.0
55.81,39.5723,-90.2379,39.575819,-90.149623,1512,0.08834711138457449,0.0
71.65,38.8432,-78.6003,38.948089,-78.540296,6018,0.1208394899732731,0.0
5.88,40.8618,-85.6067,40.788738,-85.503422,2304,0.12650850219649534,0.0
74.47,39.3543,-82.50299999999999,39.469328,-82.447064,321,0.12790729799349845,2170.0
68.23,33431,-93.8765,33.347773,-93.975115,36438,0.12904127926366044,0.0
50.45,41.8114,-93.4855,41.776673,-93.350689,1195,0.1392119615909478,0.0
47.1,38.9757,-77.0282,38.863724,-77.122748,601723,0.14655357000087668,5108.0
95.95,35.0659,-89.1534,34.968566,-89.04350600000001,1804,0.14680122203850574,0.0
83.81,36.9688,-78.5615,36.822396000000005,-78.452392,1970,0.18258884653778099,0.0
209.53,46.0062,-86.2555,45.913704,-86.09637099999999,6469,0.18405854681867326,0.0
62.28,34.6902,-79.1834,34.847589,-79.06485,14783,0.19704161951476243,0.0
103.0,35.2087,-92.2123,35.034285,-92.34301,969,0.2179580150510716,0.0
5.83,31571,-86.2743,31.798954,-86.213243,2566,0.23598937129666983,0.0
64.09,42.2203,-83.3583,42.360426,-83.552316,31515,0.23932719054048268,0.0
68.24,42.4657,-93.8262,42.699989,-93.883915,9165,0.24129309303418128,0.0
57.64,36.3924,-91.9932,36.502461,-92.210445,1679,0.24353400942373776,0.0
44.68,40507,-123.9743,40.459474,-124.214281,1139,0.24464178105344125,0.0
47.33,42728,-71181,42.810062,-71.414507,47249,0.2475069512013784,10611.0
1099.99,40.3359,-79.6607,40.578351,-79.72757800000001,1472,0.2515057738601605,4932.0
25.89,41.0646,-87.5917,40.888445,-87.409615,2135,0.2533486357768692,0.0
103.51,43.0397,-77.6871,43.115164,-77.44351,10256,0.255011575023563,0.0
56.83,40.7491,-95038,40.808208,-95.287438,7297,0.25634560949624074,6186.0
66.73,41.0036,-78.1104,40.965574,-78.375316,489,0.2676312084417658,0.0
